timestamp, hostName, cpuDemand, cpuUsage, cpuUtilization, cpuIdleTime, energyUsage
1320, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1320, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1380, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1380, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1380, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1380, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1440, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1440, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1440, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1440, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1500, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1500, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1500, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1500, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1560, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1560, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1560, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1560, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1620, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1620, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1620, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1620, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1680, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1680, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1680, host-2, 94080.0, 94080.0, 0.0, 0.6, 0, 170.0
1680, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1740, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1740, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1740, host-2, 88200.0, 88200.0, 0.8, 0.5625, 836, 162.5
1740, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1800, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1800, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1800, host-2, 86240.0, 86240.0, 0.8, 0.55, 290, 160.0
1800, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1860, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1860, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
1860, host-2, 80360.0, 80360.0, 0.8, 0.5125, 898, 152.5
1860, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
1920, host-0, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
1920, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 205.0
